species,endpoint,metric,model_type,mean,std,median,min,max,n_folds
Rat,rat_VDss_L_kg,r2,baseline,0.45412065698560206,0.07491699886040352,0.4685726855953833,0.2970121590678254,0.5686368167926906,25
Rat,rat_VDss_L_kg,rmse,baseline,0.43732904303961595,0.03275191080103314,0.4408493635300421,0.3552475084247171,0.5049570484718121,25
Rat,rat_VDss_L_kg,gmfe,baseline,2.134336781230633,0.13309161847688888,2.1413251067539467,1.9082401291192457,2.4633835249305913,25
Rat,rat_VDss_L_kg,fold_2,baseline,57.023796932839765,5.199014505556783,56.451612903225815,48.38709677419355,69.35483870967742,25
Rat,rat_VDss_L_kg,fold_3,baseline,75.8572184029614,5.040157722854645,75.80645161290323,64.51612903225806,85.24590163934425,25
Rat,rat_VDss_L_kg,fold_5,baseline,89.90058170280275,3.6480925619161657,88.70967741935483,83.60655737704919,98.38709677419357,25
Rat,rat_VDss_L_kg,bias,baseline,-0.02140671550160855,0.1674346303295111,-0.0496472170837587,-0.4497915142176935,0.3011119748869743,25
Rat,rat_CL_mL_min_kg,r2,baseline,0.18888507532951704,0.09502367001735482,0.2064011746828482,-0.0453458877922168,0.3124586023945309,25
Rat,rat_CL_mL_min_kg,rmse,baseline,0.5549649537631618,0.06755483862209748,0.5482424789131248,0.3964623723556852,0.6608466592798965,25
Rat,rat_CL_mL_min_kg,gmfe,baseline,2.513272519842216,0.270346518949971,2.551974879185731,1.9776997911237777,2.968433410162556,25
Rat,rat_CL_mL_min_kg,fold_2,baseline,54.26984126984127,6.2786869989544,54.6875,41.269841269841265,66.66666666666666,25
Rat,rat_CL_mL_min_kg,fold_3,baseline,70.30257936507937,5.781832504718797,71.875,58.730158730158735,78.125,25
Rat,rat_CL_mL_min_kg,fold_5,baseline,81.6924603174603,5.009997642029569,81.25,71.42857142857143,92.06349206349206,25
Rat,rat_CL_mL_min_kg,bias,baseline,-3.769666438349449,3.5220756886151348,-3.660463622464274,-10.920612386971095,3.145792994648451,25
Rat,rat_fup,r2,baseline,0.35895661354918995,0.09186878224165708,0.3972730362883734,0.1744076246924717,0.5034427678370543,25
Rat,rat_fup,rmse,baseline,0.25584572277335355,0.02277158547205632,0.2562916248277689,0.1920728566488037,0.2982956323213236,25
Rat,rat_fup,gmfe,baseline,2.6879744929102323,0.4461325218458351,2.5926148039924266,1.885156738253224,3.5848447899401696,25
Rat,rat_fup,fold_2,baseline,58.69767441860465,7.062419682270625,58.139534883720934,46.51162790697674,69.76744186046511,25
Rat,rat_fup,fold_3,baseline,70.97674418604652,5.776437096282801,69.76744186046511,62.7906976744186,83.72093023255815,25
Rat,rat_fup,fold_5,baseline,79.62790697674419,5.630789190854534,79.06976744186046,69.76744186046511,93.02325581395348,25
Rat,rat_fup,bias,baseline,0.03418367776918798,0.04749080933980999,0.03518165,-0.0484857604617602,0.1104778196029462,25
Rat,rat_VDss_L_kg,r2,ce50,0.45464394564777416,0.07499201276144933,0.4707787987285129,0.2882681282877437,0.5803466069523837,25
Rat,rat_VDss_L_kg,rmse,ce50,0.43716228976120286,0.03339631454368932,0.4416926829748774,0.3503925570240495,0.4947947778664717,25
Rat,rat_VDss_L_kg,gmfe,ce50,2.131690950398383,0.129183497613677,2.128879965216341,1.9041430939414976,2.3824341443371746,25
Rat,rat_VDss_L_kg,fold_2,ce50,56.70015864621893,5.6970954561163625,56.451612903225815,46.774193548387096,67.74193548387096,25
Rat,rat_VDss_L_kg,fold_3,ce50,75.91961924907457,5.017762079890349,77.41935483870968,67.74193548387096,85.24590163934425,25
Rat,rat_VDss_L_kg,fold_5,ce50,89.8995240613432,3.543233065329998,90.32258064516128,83.60655737704919,98.38709677419357,25
Rat,rat_VDss_L_kg,bias,ce50,0.0002494242687268447,0.16008956235388344,0.0056596310598263,-0.4570498092990729,0.2742253193877719,25
Rat,rat_CL_mL_min_kg,r2,ce50,0.1892048659028542,0.09621586981762019,0.2014069437791894,-0.0495227496614012,0.3180663578855082,25
Rat,rat_CL_mL_min_kg,rmse,ce50,0.5546069651259726,0.06638592132544811,0.5493761884827245,0.4084135783206387,0.662165607132134,25
Rat,rat_CL_mL_min_kg,gmfe,ce50,2.50912550795409,0.2742659050211385,2.5071625006302565,1.9756471538574365,3.008029785902875,25
Rat,rat_CL_mL_min_kg,fold_2,ce50,54.31845238095239,5.485542932488301,55.55555555555556,44.44444444444444,64.0625,25
Rat,rat_CL_mL_min_kg,fold_3,ce50,70.8670634920635,6.480870236942932,71.875,57.14285714285714,82.8125,25
Rat,rat_CL_mL_min_kg,fold_5,ce50,82.70039682539682,4.521737464059312,82.8125,74.60317460317461,92.06349206349206,25
Rat,rat_CL_mL_min_kg,bias,ce50,-3.400118535284083,3.703948722100575,-3.2190449985995073,-14.4223848295486,3.6118063523261714,25
Rat,rat_fup,r2,ce50,0.35226984254269583,0.08782604214882204,0.3589636213447638,0.1607537818445998,0.5021766720331211,25
Rat,rat_fup,rmse,ce50,0.257186186839532,0.021587917593185815,0.2596150650011962,0.1958261221025236,0.2958005096669412,25
Rat,rat_fup,gmfe,ce50,2.690483168181755,0.4254609490764897,2.6233819496906334,1.8919545059054017,3.589148556365223,25
Rat,rat_fup,fold_2,ce50,57.95348837209303,6.801520524811501,55.81395348837209,46.51162790697674,72.09302325581395,25
Rat,rat_fup,fold_3,ce50,71.16279069767442,5.0950935581875925,72.09302325581395,60.46511627906976,81.3953488372093,25
