species,endpoint,stratum,r2,gmfe,fold_2,n_compounds
Human,human_VDss_L_kg,Overall,0.5192756861684186,2.1520876756396574,56.813429718875504,25
Human,human_CL_mL_min_kg,Overall,0.284032406213958,2.5188726088933246,49.57089007782101,25
Human,human_fup,Overall,0.5829735045875091,2.8488927031394926,54.67584415584416,25
Human,human_mrt,Overall,0.27173404638558085,2.5272994821586483,49.62236040937945,25
Human,human_thalf,Overall,0.29240340567735756,2.456611500469106,50.1501976284585,25
Rat,rat_VDss_L_kg,Overall,0.4541206569856021,2.134336781230633,57.023796932839765,25
Rat,rat_CL_mL_min_kg,Overall,0.18888507532951707,2.513272519842216,54.26984126984127,25
Rat,rat_fup,Overall,0.35895661354918995,2.6879744929102323,58.69767441860465,25
