species,endpoint,metric,baseline,ce50,improvement,improvement_pct,p_value,significant
Rat,rat_VDss_L_kg,r2,0.45412065698560206,0.45464394564777416,0.0005232886621721056,0.11523119552535495,0.936802864074707,False
Rat,rat_VDss_L_kg,rmse,0.43732904303961595,0.43716228976120286,-0.00016675327841308984,-0.03812993467209181,0.9158032536506653,False
Rat,rat_VDss_L_kg,gmfe,2.134336781230633,2.131690950398383,-0.002645830832249896,-0.12396501131018048,0.6338268518447876,False
Rat,rat_VDss_L_kg,fold_2,57.023796932839765,56.70015864621893,-0.3236382866208345,-0.5675495214778526,0.5999933231908264,False
Rat,rat_VDss_L_kg,fold_3,75.8572184029614,75.91961924907457,0.06240084611317798,0.08226092048577134,1.0,False
Rat,rat_VDss_L_kg,fold_5,89.90058170280275,89.8995240613432,-0.0010576414595533379,-0.001176456747576712,0.9644535213511746,False
Rat,rat_VDss_L_kg,bias,-0.02140671550160855,0.0002494242687268447,0.021656139770335394,101.16516832630444,0.33878785371780396,False
Rat,rat_CL_mL_min_kg,r2,0.18888507532951704,0.1892048659028542,0.00031979057333716976,0.16930430992458415,0.615043044090271,False
Rat,rat_CL_mL_min_kg,rmse,0.5549649537631618,0.5546069651259726,-0.00035798863718916607,-0.06450653050461673,0.615043044090271,False
Rat,rat_CL_mL_min_kg,gmfe,2.513272519842216,2.50912550795409,-0.004147011888126162,-0.16500446550804257,0.7509929537773132,False
Rat,rat_CL_mL_min_kg,fold_2,54.26984126984127,54.31845238095239,0.04861111111111427,0.08957297455396897,0.9722036721391691,False
Rat,rat_CL_mL_min_kg,fold_3,70.30257936507937,70.8670634920635,0.5644841269841265,0.8029351583997736,0.1901055940367088,False
Rat,rat_CL_mL_min_kg,fold_5,81.6924603174603,82.70039682539682,1.0079365079365203,1.2338182789692427,0.021288357410786815,True
Rat,rat_CL_mL_min_kg,bias,-3.769666438349449,-3.400118535284083,0.36954790306536633,9.803199012673733,0.24106645584106445,False
Rat,rat_fup,r2,0.35895661354918995,0.35226984254269583,-0.006686771006494119,-1.862835438628237,0.2872292995452881,False
Rat,rat_fup,rmse,0.25584572277335355,0.257186186839532,0.0013404640661784373,0.5239345225895827,0.33878785371780396,False
Rat,rat_fup,gmfe,2.6879744929102323,2.690483168181755,0.0025086752715228755,0.09332957876422286,0.8119303584098816,False
Rat,rat_fup,fold_2,58.69767441860465,57.95348837209303,-0.7441860465116221,-1.2678288431061708,0.062469092259833714,False
Rat,rat_fup,fold_3,70.97674418604652,71.16279069767442,0.1860465116279073,0.26212319790301486,0.7907075636457211,False
Rat,rat_fup,fold_5,79.62790697674419,79.72093023255815,0.09302325581396076,0.1168224299065512,0.9119780165048018,False
Rat,rat_fup,bias,0.03418367776918798,0.031127147598730615,-0.0030565301704573652,-8.941490120212926,0.2751842737197876,False
Human,human_VDss_L_kg,r2,0.5192756861684186,0.517771989722907,-0.0015036964455116264,-0.28957574667263103,0.5782062411308289,False
Human,human_VDss_L_kg,rmse,0.44264955941298334,0.44330556413909666,0.0006560047261133239,0.1481995660366815,0.615043044090271,False
Human,human_VDss_L_kg,gmfe,2.1520876756396574,2.157740382606503,0.0056527069668455,0.26266155560624943,0.07547956705093384,False
Human,human_VDss_L_kg,fold_2,56.813429718875504,56.717108433734936,-0.09632128514056859,-0.16953964162555588,0.6258316586072892,False
Human,human_VDss_L_kg,fold_3,74.86085140562248,74.76472289156627,-0.09612851405621825,-0.12840959226520157,0.6379914338011262,False
Human,human_VDss_L_kg,fold_5,89.03222489959839,88.92022489959838,-0.11200000000000898,-0.12579714830929065,0.5371918443468522,False
Human,human_VDss_L_kg,bias,0.03532101179522439,0.032381592937185975,-0.0029394188580384173,-8.322012050730223,0.20993918180465698,False
Human,human_CL_mL_min_kg,r2,0.284032406213958,0.28536301415229176,0.0013306079383337832,0.46847046647608703,0.9158032536506653,False
Human,human_CL_mL_min_kg,rmse,0.5472482380928392,0.5466760639352856,-0.0005721741575536177,-0.10455477381665866,0.9158032536506653,False
Human,human_CL_mL_min_kg,gmfe,2.518872608893324,2.51871933490061,-0.00015327399271436448,-0.006085023600368022,0.7111607789993286,False
Human,human_CL_mL_min_kg,fold_2,49.57089007782101,49.49288667315175,-0.07800340466926059,-0.15735728074844643,0.648677021789654,False
Human,human_CL_mL_min_kg,fold_3,69.81967412451363,69.60171449416343,-0.21795963035019383,-0.3121750897340101,0.5524326852371644,False
Human,human_CL_mL_min_kg,fold_5,84.26173394941634,84.57435554474709,0.3126215953307536,0.3710125352018335,0.1874978443262605,False
Human,human_CL_mL_min_kg,bias,-0.26302381168932576,-0.26359406930092694,-0.000570257611601177,-0.21680835964568287,0.7914759516716003,False
Human,human_fup,r2,0.5829735045875091,0.5798103157974238,-0.0031631887900852584,-0.5425956351692889,0.1134914755821228,False
Human,human_fup,rmse,0.21884179775906606,0.21961374531531483,0.0007719475562487643,0.35274228422243187,0.12664812803268433,False
Human,human_fup,gmfe,2.848892703139492,2.8599134444172627,0.01102074127777053,0.3868429746625987,0.02027493715286255,True
Human,human_fup,fold_2,54.67584415584415,54.53883116883117,-0.13701298701298015,-0.25059144331169,0.48636638408681543,False
Human,human_fup,fold_3,66.30285714285714,66.1209090909091,-0.18194805194804076,-0.2744196250185912,0.5265972319310165,False
Human,human_fup,fold_5,77.88337662337662,77.56441558441558,-0.3189610389610351,-0.4095367365791627,0.10403775896835857,False
Human,human_fup,bias,0.04036849533200036,0.04058195426737846,0.00021345893537810107,0.5287760507855511,0.9578450322151184,False
