fold,unified_r2,stratified_r2,improvement
1,0.11307890587551783,0.07357070680942634,-0.03950819906609149
2,-0.06485834027083492,-0.06892364733059919,-0.004065307059764267
3,-0.02865666996193683,-0.04499735827519902,-0.016340688313262186
4,0.09310736747425896,0.10215446096968539,0.009047093495426428
5,0.04119145445659156,0.04347843916126981,0.002286984704678252
